clean_position,row_id,model_group_id,Label,partition
36982,row_689fa0c96d48ab8f,row_18bb07218903ee42,Ransomware,test
32044,row_4164ee49840b63d4,row_18bb07218903ee42,Ransomware,validation
38364,row_5e06bdda8f68bef1,row_19f1580bc8d0134d,Ransomware,test
36942,row_d3032c30c5957dfc,row_19f1580bc8d0134d,Ransomware,train
51560,row_a043ddf1fd895cad,row_2088de8a4cf26e8f,Trojan,train
51559,row_c8109bc8ede4a911,row_2088de8a4cf26e8f,Trojan,validation
42170,row_22912376ef27653a,row_2ec3f8d2693e8a1d,Spyware,test
48075,row_1cb9dc8c907424ee,row_2ec3f8d2693e8a1d,Spyware,validation
46261,row_15b1d67a5c7a5b4f,row_37445d2f8c1bad7b,Spyware,train
46288,row_d5515b147d14a87a,row_37445d2f8c1bad7b,Spyware,validation
29761,row_729636414f5f9937,row_6b32cff972b3e0b5,Ransomware,test
35892,row_10db98ca60f6b0a8,row_6b32cff972b3e0b5,Ransomware,train
39620,row_68ac646852678a57,row_6da9d951b8ba7162,Spyware,test
39660,row_0d30afd200cc04e3,row_6da9d951b8ba7162,Spyware,validation
39785,row_fbc96883ea8ca6e1,row_6f3d87820b92699d,Spyware,test
46410,row_bee876288ca82a87,row_6f3d87820b92699d,Spyware,train
42635,row_12de4f427fedb448,row_88018b20d9096413,Spyware,test
43240,row_b70f4267c7f8bf6a,row_88018b20d9096413,Spyware,train
53846,row_dc8a4dd7afee4e1b,row_cdfa2de5caf5ba30,Trojan,test
53086,row_456c9002699586fa,row_cdfa2de5caf5ba30,Trojan,train
52395,row_14b17331d53d6415,row_ed74fccf382656f1,Trojan,test
52375,row_2b19143d96f8d497,row_ed74fccf382656f1,Trojan,validation
42919,row_7b3eea806e85b77a,row_ed833335f4f5cee7,Spyware,test
47554,row_fdc897a5c88f46f5,row_ed833335f4f5cee7,Spyware,train
