,dtype_after_numeric_check,missing_count,missing_fraction,unique_non_null
pslist.nprocs64bit,int64,0,0.0,1
handles.nport,int64,0,0.0,1
svcscan.interactive_process_services,int64,0,0.0,1
psxview.not_in_eprocess_pool,int64,0,0.0,2
callbacks.nanonymous,int64,0,0.0,2
callbacks.ngeneric,int64,0,0.0,2
modules.nmodules,int64,0,0.0,3
svcscan.fs_drivers,int64,0,0.0,10
callbacks.ncallbacks,int64,0,0.0,13
svcscan.process_services,int64,0,0.0,14
svcscan.kernel_drivers,int64,0,0.0,20
svcscan.shared_process_services,int64,0,0.0,23
svcscan.nservices,int64,0,0.0,31
svcscan.nactive,int64,0,0.0,35
psxview.not_in_pslist,int64,0,0.0,41
psxview.not_in_session,int64,0,0.0,41
psxview.not_in_pspcid_list,int64,0,0.0,43
pslist.nppid,int64,0,0.0,49
handles.ndesktop,int64,0,0.0,64
psxview.not_in_ethread_pool,int64,0,0.0,84
psxview.not_in_csrss_handles,int64,0,0.0,84
psxview.not_in_deskthrd,int64,0,0.0,87
handles.ndirectory,int64,0,0.0,108
pslist.nproc,int64,0,0.0,114
malfind.ninjections,int64,0,0.0,120
handles.ntimer,int64,0,0.0,129
ldrmodules.not_in_load,int64,0,0.0,151
ldrmodules.not_in_mem,int64,0,0.0,151
ldrmodules.not_in_init,int64,0,0.0,185
psxview.not_in_eprocess_pool_false_avg,float64,0,0.0,196
malfind.protection,int64,0,0.0,215
handles.nmutant,int64,0,0.0,408
malfind.commitCharge,int64,0,0.0,559
handles.nsection,int64,0,0.0,629
handles.nsemaphore,int64,0,0.0,638
handles.nkey,int64,0,0.0,1100
handles.nfile,int64,0,0.0,1149
handles.nthread,int64,0,0.0,1170
dlllist.ndlls,int64,0,0.0,1860
handles.nevent,int64,0,0.0,3469
malfind.uniqueInjections,float64,0,0.0,5526
handles.nhandles,int64,0,0.0,7674
psxview.not_in_pslist_false_avg,float64,0,0.0,9690
psxview.not_in_pspcid_list_false_avg,float64,0,0.0,9695
psxview.not_in_ethread_pool_false_avg,float64,0,0.0,10421
psxview.not_in_csrss_handles_false_avg,float64,0,0.0,11814
psxview.not_in_session_false_avg,float64,0,0.0,11930
psxview.not_in_deskthrd_false_avg,float64,0,0.0,12049
dlllist.avg_dlls_per_proc,float64,0,0.0,16319
ldrmodules.not_in_load_avg,float64,0,0.0,18673
ldrmodules.not_in_mem_avg,float64,0,0.0,18673
ldrmodules.not_in_init_avg,float64,0,0.0,18838
pslist.avg_threads,float64,0,0.0,27885
handles.avg_handles_per_proc,float64,0,0.0,36144
pslist.avg_handlers,float64,0,0.0,36463
